PUF_ID,HEALTH,SWB_1,SWB_2,SWB_3,FWBscore,FWB1_1,FWB1_2,FWB1_4,FWB2_2,FSscore,ACT1_2,FINGOALS,CHANGEABLE,GOALCONF,EARNERS,VOLATILITY,SNAP,MATHARDSHIP_1,MATHARDSHIP_2,MATHARDSHIP_4,MATHARDSHIP_5,BENEFITS_1,CONNECT,DISTRESS,SELFCONTROL_2,SELFCONTROL_3,OUTLOOK_2,PEM,HOUSESAT,LIFEEXPECT,HHEDUC,PPINCIMP,PPREG4,PPREG9,fpl,agecat,generation,PPGENDER,PPMARIT,PPETHM
10350,1,5,5,6,55,3,3,3,3,44,3,1,4,3,1,2,0,1,1,1,1,0,80,4,3,3,2,3,4,-2,4,7,4,8,3,8,1,1,3,1
7740,1,6,6,6,51,2,2,3,2,43,3,0,2,3,2,2,0,1,1,1,1,1,95,3,4,3,5,4,3,90,2,6,2,3,3,3,3,1,3,1
13699,1,4,3,4,49,3,3,3,3,42,3,1,6,3,2,3,0,1,1,1,1,1,50,2,3,3,4,6,3,78,3,6,4,9,3,3,3,1,3,2
7375,1,4,4,4,49,3,3,3,3,42,3,1,4,3,2,2,8,2,2,2,2,1,0,3,3,3,3,4,3,75,2,7,2,4,3,2,4,1,1,3
10910,0,5,7,5,67,5,1,1,5,57,4,1,1,4,1,1,0,1,1,1,1,1,80,4,3,3,5,7,4,10,4,7,2,3,3,2,4,1,1,1
11079,1,5,4,7,51,1,3,3,2,54,3,1,4,3,1,1,0,1,1,1,1,1,70,4,3,3,2,5,2,70,4,7,2,4,3,3,3,2,1,4
7741,1,2,2,2,47,1,2,3,3,35,3,0,4,2,1,2,1,3,3,3,3,0,50,5,1,1,2,2,2,0,2,4,2,4,3,2,4,2,4,1
8303,0,7,7,7,43,4,5,5,5,58,3,0,5,3,1,1,0,1,2,1,1,0,-1,1,3,3,3,-1,-1,50,2,7,3,7,3,3,3,2,1,3
9688,1,4,5,4,58,3,3,3,4,42,4,1,3,4,1,1,0,1,1,1,1,1,100,4,3,3,4,6,2,100,2,8,1,2,3,4,3,1,1,1
13180,0,7,7,7,78,5,5,5,5,66,5,1,3,4,2,2,0,1,1,1,1,1,50,2,3,4,4,6,4,100,3,6,4,8,3,1,4,1,1,1
10127,0,5,7,7,62,4,3,5,4,57,4,1,3,4,2,1,0,1,1,1,1,1,90,3,4,3,5,6,4,95,5,8,4,8,3,6,2,2,1,1
7852,0,5,6,7,50,3,4,3,4,49,4,1,5,3,2,1,0,1,1,1,2,1,80,4,3,3,5,5,3,70,3,3,3,7,2,1,4,2,4,1
7376,0,1,1,1,40,2,2,2,2,30,1,0,6,3,2,1,0,1,1,1,1,1,100,4,3,3,1,1,3,0,5,9,4,9,3,2,4,1,4,1
8304,1,5,7,7,61,5,4,5,4,71,4,1,1,4,1,2,0,1,1,1,1,1,75,4,3,4,5,7,4,80,5,9,3,5,3,2,4,1,1,1
11726,1,7,6,7,69,4,4,4,5,48,3,0,4,3,2,2,1,1,1,1,1,0,100,3,3,3,4,6,4,100,1,2,3,5,1,2,4,1,5,4
11221,0,3,5,4,37,1,1,1,1,32,5,1,5,3,1,3,1,3,3,1,1,1,50,5,4,3,1,3,2,50,2,1,4,9,1,1,4,1,4,1
8121,1,5,5,5,52,3,3,3,3,40,3,1,3,3,2,1,0,1,1,2,1,1,80,4,2,2,4,5,4,70,3,3,3,7,3,1,4,2,1,1
8122,1,7,6,7,69,4,4,4,5,50,3,0,2,3,1,2,0,1,1,1,1,1,-1,4,3,2,4,6,4,80,5,9,1,1,3,7,1,1,1,1
12990,1,7,7,7,67,2,3,3,3,79,5,1,5,4,1,2,0,1,1,1,1,1,0,1,3,3,1,4,4,76,3,2,3,5,2,6,2,2,3,2
10548,0,3,2,2,40,2,2,2,2,38,3,1,5,3,2,1,0,1,1,1,1,1,100,5,2,2,4,5,4,80,3,8,4,8,3,3,3,2,1,1
13389,1,4,4,4,51,2,3,3,3,41,3,-1,4,3,2,2,0,2,1,2,1,0,88,3,2,2,4,5,3,50,4,6,4,9,3,4,3,1,1,3
10351,1,5,5,5,61,3,3,3,4,54,4,1,4,4,2,2,0,1,1,1,1,1,100,3,3,3,4,5,3,75,5,8,4,9,3,6,2,1,5,3
13255,1,5,3,4,37,2,1,3,1,49,3,1,2,2,2,1,0,2,2,3,3,1,80,4,1,2,4,1,4,50,4,4,1,2,3,2,4,2,5,1
7853,0,7,7,7,47,4,5,4,5,75,4,1,1,4,1,1,8,1,1,1,1,1,10,1,4,3,3,6,3,10,3,8,2,4,3,3,3,2,4,2
12675,1,7,7,7,64,3,4,4,4,68,4,1,5,4,2,2,0,1,1,1,1,0,80,3,4,3,4,2,3,-2,4,7,3,7,3,8,1,1,1,4
11353,1,7,6,6,80,5,4,4,5,51,4,0,4,3,1,1,0,1,1,1,1,1,100,2,2,3,2,6,4,-2,2,8,3,6,3,8,1,1,1,1
9433,1,5,6,6,63,5,4,4,5,50,4,1,5,3,2,1,0,1,1,1,1,1,90,3,3,3,4,6,3,75,3,7,2,3,3,4,2,1,1,2
