Feature_Name,Score
SELFCONTROL_3,210.97395098291233
EMPLOY1_6,169.39405073102319
EMPLOY1_9,163.63490354778105
EMPLOY,161.52555597964687
FWB1_2,147.42736296450659
SWB_2,142.7522403649328
SWB_1,141.2257067259764
OUTLOOK_2,136.06572773468443
LIFEEXPECT,133.3296259492031
GOALCONF,132.07007453869872
FWB1_4,128.68462159585044
FWBscore,127.99998812971192
FWB1_1,122.7185600050948
HHEDUC,122.40686094112709
SELFCONTROL_2,121.88561466484506
HOUSESAT,120.09757272499986
PPINCIMP,115.22338006506503
FSscore,115.22214373337818
MEMLOSS,114.06934195629108
FWB2_2,110.21242075420521
